=== Basic System Information ===
User        : sveda
Hostname    : AcerNitroV
IP Address  : 192.168.1.234
OS          : Windows 11
Directory   : c:\Users\sveda\Desktop\SecurityAutomationTools\security-automation-tools

=== Running Processes ===

Image Name                     PID Session Name        Session#    Mem Usage
Discord.exe                  22676 Console                    1     84,896 K
Discord.exe                  12000 Console                    1     11,184 K
Discord.exe                  18776 Console                    1    127,220 K
Discord.exe                  18160 Console                    1     36,436 K
Discord.exe                  19080 Console                    1    346,444 K
Discord.exe                  19540 Console                    1     25,288 K
Microsoft.SharePoint.exe     17756 Console                    1     32,580 K
CrossDeviceService.exe       20316 Console                    1     40,416 K
ms-teams.exe                 23748 Console                    1     43,836 K
RuntimeBroker.exe            23056 Console                    1      6,120 K
RuntimeBroker.exe            23472 Console                    1      5,388 K
msedgewebview2.exe            1916 Console                    1     66,056 K
msedgewebview2.exe            2112 Console                    1      3,928 K
msedgewebview2.exe            5532 Console                    1     13,644 K
msedgewebview2.exe            5548 Console                    1     26,452 K
msedgewebview2.exe             672 Console                    1      7,764 K
msedgewebview2.exe           10676 Console                    1     61,708 K
ms-teams.exe                 24288 Console                    1     37,424 K
msedgewebview2.exe            8780 Console                    1      5,716 K
Copilot.exe                  13272 Console                    1     89,040 K
AppleMobileDeviceLauncher    10528 Console                    1      5,964 K
WebViewHost.exe              24280 Console                    1     72,072 K
RuntimeBroker.exe            20908 Console                    1      8,608 K
msedgewebview2.exe           15864 Console                    1     69,032 K
msedgewebview2.exe           24616 Console                    1      4,024 K
msedgewebview2.exe           24792 Console                    1     30,788 K
msedgewebview2.exe           24800 Console                    1     29,676 K
msedgewebview2.exe           24836 Console                    1     10,472 K
msedgewebview2.exe           25068 Console                    1     95,408 K
vmware-tray.exe              25420 Console                    1      6,588 K
AppleMobileDeviceProcess.    25076 Console                    1      6,284 K
msedgewebview2.exe           25304 Console                    1     10,344 K
msedgewebview2.exe           20756 Console                    1      4,744 K
msedgewebview2.exe           25384 Console                    1     16,212 K
msedgewebview2.exe           25412 Console                    1      9,128 K
msedgewebview2.exe           25608 Console                    1         32 K
msedgewebview2.exe           25768 Console                    1        228 K
msedgewebview2.exe           26612 Console                    1     19,364 K
msedgewebview2.exe           25328 Console                    1     43,080 K
svchost.exe                  26508 Services                   0      8,284 K
ApplicationFrameHost.exe     20960 Console                    1     22,156 K
SystemSettings.exe           20968 Console                    1      2,000 K
svchost.exe                  11204 Services                   0      3,624 K
svchost.exe                  12776 Console                    1      5,252 K
UserOOBEBroker.exe           22692 Console                    1      4,472 K
svchost.exe                   1588 Console                    1      9,056 K
svchost.exe                  26776 Services                   0     10,144 K
RadeonSoftware.exe           27488 Console                    1     29,348 K
cncmd.exe                    12724 Console                    1      3,384 K
AMDRSServ.exe                27416 Console                    1     17,868 K
amdow.exe                    27400 Console                    1      2,032 K
AMDRSSrcExt.exe              27296 Console                    1     35,548 K
HostAppServiceUpdater.exe    24312 Console                    1     13,980 K
ShellExperienceHost.exe       5340 Console                    1     45,484 K
RuntimeBroker.exe             7420 Console                    1     16,140 K
svchost.exe                  14084 Console                    1     14,924 K
backgroundTaskHost.exe        5040 Console                    1        964 K
FileCoAuth.exe                9704 Console                    1     22,676 K
audiodg.exe                  13920 Services                   0     24,136 K
svchost.exe                   3632 Services                   0     25,888 K
svchost.exe                   5224 Services                   0     20,840 K
XboxGameBarSpotify.exe       14816 Console                    1     59,956 K
RuntimeBroker.exe            10024 Console                    1      9,796 K
XboxPcAppFT.exe              19452 Console                    1     38,020 K
LockApp.exe                   7384 Console                    1     77,816 K
RuntimeBroker.exe            29224 Console                    1     53,736 K
svchost.exe                  17084 Services                   0      9,056 K
svchost.exe                   1792 Services                   0      8,604 K
svchost.exe                  17696 Services                   0     19,004 K
Code.exe                     32720 Console                    1    166,652 K
Code.exe                     26244 Console                    1     32,444 K
Code.exe                     12868 Console                    1    299,684 K
Code.exe                     28712 Console                    1     61,148 K
Code.exe                     29280 Console                    1    308,348 K
Code.exe                      5352 Console                    1    122,428 K
Code.exe                     22760 Console                    1    116,704 K
Code.exe                     31048 Console                    1    496,132 K
Code.exe                     29484 Console                    1    121,156 K
conhost.exe                  30740 Console                    1      8,572 K
powershell.exe               28832 Console                    1     77,644 K
pet.exe                      33212 Console                    1      7,740 K
conhost.exe                   8820 Console                    1      7,728 K
conhost.exe                  30228 Console                    1      8,488 K
powershell.exe               22500 Console                    1     70,688 K
python.exe                   13092 Console                    1     55,680 K
conhost.exe                  13072 Console                    1      7,868 K
Code.exe                     23152 Console                    1    468,864 K
msedgewebview2.exe           14888 Console                    1      3,344 K
brave.exe                    32844 Console                    1    308,096 K
brave.exe                    31204 Console                    1      9,620 K
brave.exe                    20528 Console                    1    246,760 K
brave.exe                    29152 Console                    1     48,072 K
brave.exe                    29632 Console                    1     23,564 K
brave.exe                    29588 Console                    1    106,320 K
brave.exe                    23500 Console                    1     95,524 K
brave.exe                    19988 Console                    1    541,548 K
cmd.exe                      32928 Console                    1      5,440 K
cmd.exe                      30468 Console                    1      5,436 K
